"year","zone","ratio"
"2009","S01001817","21.21"
"2010","S01001817","21.14"
"2011","S01001817","21.14"
"2012","S01001817","21.14"
"2003","S01001817","21.21"
"2004","S01001818","15.43"
"2005","S01001818","15.43"
"2006","S01001818","15.43"
"2007","S01001818","15.43"
"2008","S01001818","15.43"
"2009","S01001818","15.43"
"2010","S01001818","15.43"
"2011","S01001818","15.43"
"2012","S01001818","15.43"
"2003","S01001818","15.43"
"2004","S01001819","12.38"
"2005","S01001819","12.38"
"2006","S01001819","12.35"
"2007","S01001819","12.32"
"2008","S01001819","12.35"
"2009","S01001819","12.35"
"2010","S01001819","12.38"
"2011","S01001819","12.38"
"2012","S01001819","12.38"
"2003","S01001819","12.38"
"2004","S01001820","36.87"
"2005","S01001820","35.82"
"2006","S01001820","35.82"
"2007","S01001820","35.82"
"2008","S01001820","35.82"
"2009","S01001820","35.82"
"2010","S01001820","35.82"
"2011","S01001820","35.82"
"2012","S01001820","35.82"
"2003","S01001820",34
"2004","S01001821","14.38"
"2005","S01001821","14.38"
"2006","S01001821","14.38"
"2007","S01001821","14.38"
"2008","S01001821","14.38"
"2009","S01001821","14.38"
"2010","S01001821","14.38"
"2011","S01001821","14.38"
"2012","S01001821","14.38"
"2003","S01001821","14.38"
"2004","S01001822","23.05"
"2005","S01001822","23.42"
"2006","S01001822","23.47"
"2007","S01001822","23.47"
"2008","S01001822","23.47"
"2009","S01001822","23.47"
"2010","S01001822","23.47"
"2011","S01001822","23.56"
"2012","S01001822","23.56"
"2003","S01001822","23.01"
"2004","S01001823","17.59"
"2005","S01001823","18.59"
"2006","S01001823","18.59"
"2007","S01001823","18.35"
"2008","S01001823","19.26"
"2009","S01001823","12.68"
"2010","S01001823","12.68"
"2011","S01001823","12.68"
"2012","S01001823","16.03"
"2003","S01001823","17.19"
"2004","S01001824","22.24"
"2005","S01001824","22.24"
"2006","S01001824","22.24"
"2007","S01001824","22.24"
"2008","S01001824","22.24"
"2009","S01001824","22.18"
"2010","S01001824","22.18"
"2011","S01001824","22.37"
"2012","S01001824","22.37"
"2003","S01001824","22.11"
"2004","S01001825","3.23"
"2005","S01001825","3.22"
"2006","S01001825","3.22"
"2007","S01001825","3.21"
"2008","S01001825","3.23"
"2009","S01001825","3.23"
"2010","S01001825","3.23"
"2011","S01001825","3.23"
"2012","S01001825","3.23"
"2003","S01001825","3.23"
"2004","S01001826","21.61"
"2005","S01001826","22.07"
"2006","S01001826","22.07"
"2007","S01001826","21.26"
"2008","S01001826","21.21"
"2009","S01001826","19.82"
"2010","S01001826","20.39"
"2011","S01001826","22.48"
"2012","S01001826","28.39"
"2003","S01001826","25.55"
"2004","S01001827","25.85"
"2005","S01001827","26.12"
"2006","S01001827","26.12"
"2007","S01001827","24.61"
"2008","S01001827","24.13"
"2009","S01001827","24.4"
"2010","S01001827","24.29"
"2011","S01001827","22.78"
"2012","S01001827","20.14"
"2003","S01001827","25.85"
"2004","S01001828","17.18"
"2005","S01001828","17.18"
"2006","S01001828","17.18"
"2007","S01001828","17.18"
"2008","S01001828","17.18"
"2009","S01001828","17.18"
"2010","S01001828","17.18"
"2011","S01001828","17.18"
"2012","S01001828","17.18"
"2003","S01001828","17.18"
"2004","S01001829","18.44"
"2005","S01001829","18.44"
"2006","S01001829","18.49"
"2007","S01001829","18.49"
"2008","S01001829","18.49"
"2009","S01001829","18.39"
"2010","S01001829","18.39"
"2011","S01001829","18.39"
"2012","S01001829","18.34"
"2003","S01001829","18.44"
"2004","S01001830","10.74"
"2005","S01001830","10.74"
"2006","S01001830","10.74"
"2007","S01001830","10.74"
"2008","S01001830","10.74"
"2009","S01001830","10.74"
"2010","S01001830","10.74"
"2011","S01001830","10.74"
"2012","S01001830","10.74"
"2003","S01001830","10.74"
"2004","S01001831","28.69"
"2005","S01001831","28.69"
"2006","S01001831","28.69"
"2007","S01001831","28.69"
"2008","S01001831","28.69"
"2009","S01001831","28.69"
"2010","S01001831","28.69"
